Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.28661757846650754,24108.222589876576,0.08362331093304111,0.0
1001,0.18051816409933433,52466.029165118074,0.045357493669591,0.16648768897539776
2001,0.18052040585104975,51525.698498380225,0.05113827386043376,0.0711403057918359
3001,0.18052562019697163,50607.928427789055,0.04908755327969986,0.13301502331141676
4001,0.1805292859036364,46192.47456961997,0.05364667173342399,0.19601399722561064
5001,0.18052034723457566,41173.3936707776,0.05472634335145741,0.26021045198660514
6001,0.1805148172673262,45519.076671630035,0.055103542088315687,0.24691019031334258
7001,0.180516351372131,45492.67132658425,0.055020403639761566,0.23737091545330025
8001,0.1805196671329615,49732.40636830758,0.054327929939577364,0.21303782943335883
9001,0.18051601412302554,41073.67207615862,0.052502999803598835,0.2908274018940989
10001,0.1805149993278016,48899.14741219147,0.05213383299186049,0.19371303966713643
