Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.28708432988092897,22875.318196173615,0.07947923512149851,0.0
1001,0.20756581535692442,43834.96966193103,0.05329003493084284,0.31888046535351755
2001,0.18118380893830535,46211.86249561261,0.04845309107418844,0.24909443606363543
3001,0.18116580947535468,44317.759237993836,0.04976882860940494,0.15302142168036895
4001,0.1811931109113279,41891.87303294201,0.05372108306239578,0.17579635485783765
5001,0.18115943467763054,45565.51884721729,0.05253159426950254,0.08927627926943384
6001,0.1812021712548259,45697.57090447265,0.05503363671122995,0.13720582330246006
7001,0.18118108307873917,40856.81085226457,0.05479203565706516,0.18865549031059628
8001,0.18125531853624544,44139.63137827896,0.05360102744381897,0.2078504996244047
9001,0.18118587668170058,46657.009212632176,0.05072199415502908,0.22144444425510013
10001,0.18121602862378988,44075.245625196156,0.053321341125875124,0.26015664092322
