Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.28980742972942186,22105.302806983655,0.08370414050227984,0.0
1001,0.22695889059488367,33139.83361741819,0.05850043242015029,0.07461015391407332
2001,0.2187462125747012,30059.969275702108,0.06285829949711014,0.06626071601350868
3001,0.21197869469403421,34905.45849280323,0.06341873742290662,0.14469206898724363
4001,0.20958108980952828,40011.66726691315,0.05651070978843603,0.11933041516363253
5001,0.1886484513159126,45233.07768257199,0.0536047136760985,0.10445544371958755
6001,0.18877887435129026,45582.644733598434,0.05531649118979998,0.1415482705536761
7001,0.18882433172167357,44648.60640840289,0.055643592825584696,0.18948498194668004
8001,0.1888402229389196,44800.84526437057,0.057261982907615014,0.22901792795632323
9001,0.1896127721340789,40547.438545457626,0.05794159645835533,0.22910145029678822
10001,0.18888571400480453,48895.440755631615,0.05679452364300741,0.12688288085381982
