Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.2850317890453431,22800.20473645046,0.08319805595927561,0.0
1001,0.2304337098033014,38405.23116069333,0.058082455457273995,0.24199438808436113
2001,0.18869357650307203,48088.17499468314,0.053264752625741416,0.22414453519530264
3001,0.19113470091236784,39295.84083252384,0.060821648566859614,0.14300641678700757
4001,0.1888731802839338,56520.650469835,0.05827964129906687,0.41297918051757965
5001,0.1917461527381521,44271.71412658629,0.05993113424782539,0.23324741101532445
6001,0.18877830017489344,50474.89079899465,0.06845805334214206,0.08570540316902335
7001,0.18877927708414582,49629.799157956724,0.053575610501601215,0.22108634532596552
8001,0.18876962359638474,49942.507781336084,0.052877292196270964,0.3626860437414237
9001,0.18872830332665289,51475.82364214068,0.055211285189462375,0.09844037057297467
10001,0.18868752850477163,51645.585955213915,0.05610188306010517,0.3840118584151093
