Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.24330555673040966,11471.51788700583,0.07481502909191404,0.1282223852159455
1001,0.23524029847493483,13196.216672906661,0.07488293013225664,0.21033609478647858
2001,0.23924584438811733,14526.381979445927,0.07278942622943797,0.19419685254202673
3001,0.23847170726076208,14135.387957885536,0.0763226912256673,0.20845888291553435
4001,0.23551325048754854,13993.681494113947,0.0740069445845244,0.21655373345081352
5001,0.23527034250278064,15499.1183766023,0.07358929560149356,0.17014536043037198
6001,0.23313637998873396,15260.425296455474,0.073801202312151,0.1637740202924128
7001,0.2360997456515427,16336.026026727077,0.07290477416545563,0.17653912026578508
8001,0.2333166962714196,18556.336612982814,0.07163968978422253,0.1644725700002284
9001,0.22461449879064346,19487.57625066209,0.07062788409730908,0.1666416364025188
10001,0.22354854336400354,21869.94585067184,0.07094783379061026,0.15903965975593426
