Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.23045633443894734,9457.676974284419,0.07169343688425445,0.26679680759257085
1001,0.23124081260609625,11101.595170952383,0.07442707757353421,0.3082801054957124
2001,0.22471684690965352,11166.548667734569,0.07037295063734537,0.3237466404249031
3001,0.2189299578806809,11635.0173752788,0.07131186452408772,0.29597209302980665
4001,0.22114485486850213,12521.19027645225,0.07108810187704767,0.29177965076699636
5001,0.21657297161809605,14748.562620094239,0.0715480861021068,0.3139815775922257
6001,0.22173952649992337,17404.11176929566,0.06790191311072956,0.31031393631240434
7001,0.2139555433242705,17909.467248997156,0.06968389524959837,0.29914838480689926
8001,0.21050109019596533,18837.090599626972,0.06955597281998885,0.2715821950688759
9001,0.20718681014579474,20448.541993027728,0.06814972716023464,0.2720015352668234
10001,0.20906027755426007,21524.535940967915,0.06840090416464503,0.30434899912196883
