Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.22828861958135865,10318.002076039591,0.0680652892619605,0.1741486463260724
1001,0.2217296973023199,18633.37108862109,0.08838632668308077,0.25058343346517037
2001,0.20118338496844587,23930.46266763437,0.08293724931684965,0.12654187062949196
3001,0.18341998299453025,35062.94980941504,0.0795185433552057,0.19353172962679455
4001,0.1824029443500656,39914.16531864001,0.07970102144491659,0.18108977582985206
5001,0.1816904079792065,41607.365124322896,0.0828327972922125,0.1711116565367186
6001,0.18186460664370233,44220.90102263959,0.08108971865559556,0.19745270395368872
7001,0.18137381788998355,46075.65869235836,0.08107666078383344,0.19547364262668487
8001,0.1815827399585604,45044.64650874268,0.0817960644933885,0.22065811911043015
9001,0.1817742563688073,44983.398115202464,0.08298225269815383,0.2081417660982925
10001,0.18139297152177825,46197.043145854,0.08129015993790407,0.188146671361649
