Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.2637136035747014,52081.057781575975,0.07648478905814532,0.47201757066665373
1001,0.31460064375405694,42387.780565887464,0.189932235622264,0.0
2001,0.3271571284271056,45045.90191985374,0.15139361956404274,0.005115462157493757
3001,0.2771493220786675,47259.676950258625,0.08758669095205358,0.6111045730324525
4001,0.20739521206534903,45725.53853503907,0.06585471198173223,0.0
5001,0.29882316312607093,47708.41439220865,0.15531948009549515,0.0
6001,0.3357498747780552,47448.54044052949,0.15940838347824163,0.6657995098070595
7001,0.2986583527255112,41237.33637422667,0.13998150715343874,0.0
8001,0.27115910517822717,57099.85677196249,0.08023207135028695,0.8225190085122668
9001,0.3194467776839935,50430.944802277,0.12145556644352681,0.0
10001,0.23532838391565228,46344.81468006299,0.08479244003891466,0.0
11001,0.32478409345187714,45441.54202664906,0.1551694236723553,0.0
12001,0.2888377749981315,42111.09170320923,0.16217367313641445,0.0
