Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.11855224668668214,22848.37755628494,0.05860037954751485,0.0
1001,0.11705258570321964,182602.20750904185,0.015892728601691754,0.20630203059092667
2001,0.10900726856029372,164827.25783213408,0.023700085336328343,0.08997187891685096
3001,0.09736545799007143,112817.25866326393,0.02263404094488143,0.18852561530179923
4001,0.1087947209349551,86327.12168829284,0.02774829035930736,0.12858621449422186
5001,0.11399679429695646,103723.32663721102,0.023369946033717885,0.14534512279721445
6001,0.09951470914974517,135772.73059852413,0.024721555482784128,0.19175176729814672
7001,0.06396266152968628,103831.53812540167,0.0351567847184595,0.05313833401319615
8001,0.11011883674343279,83146.40099036573,0.047118159270121196,0.22509778008980239
9001,0.01890528850392756,102365.42444235442,0.018496655881107854,0.20748726736872955
10001,0.05476171396580226,104902.32083031315,0.0368135693959639,0.15978800728727227
