Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.24286780551105014,10516.669235902105,0.06990302765754276,0.13855056883272418
1001,0.26844418747182536,10630.556845445784,0.10500901377266621,0.33897693023937814
2001,0.216117642391851,16378.93164390985,0.09133437622143206,0.27684061958033046
3001,0.20715672716294725,21734.110322901237,0.08893599351973495,0.20072547775628038
4001,0.19768654059445304,22701.64182407804,0.08658781671670328,0.16779680667740574
5001,0.18632212720346647,26673.551204679006,0.08695412160989517,0.1688223646623456
6001,0.18373548150750785,27839.194928400535,0.08420277577685076,0.1792646311741017
7001,0.18236475225585405,32010.51062059517,0.08364170600020258,0.1918435026505653
8001,0.18105100572196306,37157.333117569695,0.08271055649230784,0.1901844594081687
9001,0.1810219048987547,39098.32621720084,0.0797141216485565,0.1758150782511511
10001,0.18101957726285753,40513.57013511205,0.08059838070577498,0.19811919230433878
