Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.12181357936055208,79594.7187592017,0.05946594372015393,0.2215360677288855
1001,0.12710759441725356,87394.38811521178,0.04621191873214953,0.37093810683518824
2001,0.12346723030960284,106711.47819042695,0.044555277694257454,0.3755718806407864
3001,0.12234221176904614,142430.78131814633,0.045234964520901276,0.4082399378622812
4001,0.11283299521393408,197699.41571038126,0.0447245338623227,0.3031672420927883
5001,0.1088196819869428,212890.0554754255,0.039177519219761,0.3154478883459656
6001,0.11890330422103895,206724.95265267862,0.03598242856553051,0.3082730490344688
7001,0.11963692094171444,213707.71653220037,0.043412127831000874,0.3050646948576355
8001,0.1172385399058589,268756.1622478977,0.03911480721077907,0.23844396415878918
9001,0.11339714553542511,260089.0778855808,0.03733902307273714,0.29673699053053243
10001,0.12088456671557248,275194.25999114563,0.05053936194934427,0.19206753568588789
