Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.2906150163708132,21869.29523786853,0.0832405344199928,0.0
1001,0.18927787106771612,46800.232518150195,0.07414333905203437,0.012423139606835817
2001,0.19029215077994857,39003.87574902472,0.07074193039864449,0.11590857743249289
3001,0.1892360528729584,30870.37204061444,0.07639035546956881,0.4905050777320093
4001,0.1887106325128264,49662.199096786186,0.07783208717545693,0.24377030877379482
5001,0.19065375728855877,55708.08643242702,0.07211652517577957,0.37752262325753594
6001,0.1887057694129842,46397.152163785824,0.07249311844915353,0.3844016317849615
7001,0.18937032748704544,42829.87882139051,0.08933544962198962,0.5798166900549975
8001,0.18900339508397523,31830.261862893858,0.08470150265081176,0.44725760991908226
9001,0.188694483907248,24755.882821018404,0.08161370041023581,0.008395684271091436
10001,0.18888237660595514,51961.51175290288,0.07416010285746232,0.006144935126591222
