Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.29038534303808,22611.68368177594,0.08199754943464775,0.0
1001,0.18904725020005012,34572.35317846068,0.07390805969229595,0.1986502960024836
2001,0.20468448759518892,19707.394767938895,0.08326634082614551,0.007607438560583618
3001,0.22288334328160214,31517.388053423358,0.08119926006265597,0.002589581451370069
4001,0.19025722306148918,48648.00127581399,0.08120712703658041,0.4393179258255196
5001,0.18863845800049622,38331.852151400235,0.08776240286220462,0.7149303197859711
6001,0.1890952784543454,48701.44431215235,0.07223628809959633,0.043292037059956504
7001,0.18866938777014486,22936.616218091876,0.08978787379559465,0.0
8001,0.18864946544922365,76283.2017021703,0.08175767027216196,0.3955523738324416
9001,0.18874568860091023,51084.71328471607,0.07570376817033464,0.40021482062333485
10001,0.19104470406243346,33874.37863484086,0.07472376038971326,0.0
