Batches,Hausdorff Distance,Total Travelled Distance,Sliced Wasserstein Distance,Time Reversal Ratio
1,0.2922965620701415,21394.49328094878,0.08654000500862029,0.0
1001,0.19190959986940576,27255.20830639911,0.07273604566399071,0.04329921296173118
2001,0.1923977084351193,25885.36641836189,0.07748993597935926,0.0572589941326235
3001,0.18894997387108967,32615.361886605016,0.07349490102192967,0.3305123418674264
4001,0.19119641928340608,29277.884275654505,0.0700256624291032,0.44396810122420494
5001,0.18863862896460493,49266.671911444995,0.06783865688049337,0.4364678450729732
6001,0.18887651510951184,36664.10365541447,0.07159829867625968,0.15185307792006605
7001,0.18912791558619066,42924.97541179163,0.07775910262515699,0.22575391863495473
8001,0.19005715414037536,33812.754732104964,0.0705155019525706,0.23775045841153752
9001,0.18929936571989517,34246.69139394237,0.07541763032106935,0.1263324187757593
10001,0.19080035833147596,40068.60232008928,0.07262496609088201,0.34693594061019184
